,ticker,year,CR ER,10-K ER,percentage_diff
0,BAC,2020,55.551593989329575,64.55546721541484,116.20812757922793
1,BAC,2021,61.74655633815634,67.0283796976872,108.55403713626528
2,BAC,2022,59.59054117308494,64.7056345444971,108.58373371128651
3,BAC,2023,53.73386353567675,66.79278968563922,124.30297263343435
4,FRCB,2020,62.92918423545125,61.93515445494,98.42039938609078
5,FRCB,2021,62.410062820361816,62.51489868891538,100.16797911076507
6,FRCB,2022,61.06124163806175,61.67092924126172,100.99848543338483
7,FRCB,2023,68.12084703937089,,
8,JPM,2020,60.38271128874974,55.7590155843504,92.34268285455276
9,JPM,2021,61.479162309672276,58.64659799916152,95.39264328904963
10,JPM,2022,59.86005352748176,59.16313765103539,98.83575801326938
11,JPM,2023,50.01008793138817,55.13585994029246,110.24947609757585
12,PNC,2020,60.75175893722952,60.925389030234896,100.28580257764187
13,PNC,2021,65.67152350015068,67.67997501431472,103.05832940537678
14,PNC,2022,64.51892331056582,62.35795454545454,96.65064347910871
15,PNC,2023,59.52194595500924,65.20241973010702,109.54349472947588
16,SBNY,2020,39.43948208148129,38.514620469912316,97.65498540356533
17,SBNY,2021,36.85361939788587,35.15511018199115,95.39120107157736
18,SBNY,2022,31.63345207999502,31.976200604442045,101.08350022495263
19,SIVB,2020,50.32140747038901,50.92144693066215,101.19241390580385
20,SIVB,2021,55.17345101910248,51.88440087882373,94.03870869135956
21,SIVB,2022,46.96586285947106,58.281023660067596,124.09230899143321
