,ticker,year,ROA_CR,ROA_10K,percentage_diff
0,BAC,2020,0.6484009211029489,,
1,BAC,2021,1.1022286808972013,1.0678693805202164,103.22
2,BAC,2022,1.0026580749631022,0.8850209054360564,113.29
3,BAC,2023,1.2821524839169363,0.8509954062616444,150.67
4,FRCB,2020,0.7863865467838826,,
5,FRCB,2021,0.9096197993112278,0.9135044763573544,99.57
6,FRCB,2022,0.8717823714051682,0.8457658371557885,103.08
7,FRCB,2023,0.48314586520622743,,
8,JPM,2020,0.4742053908290069,,
9,JPM,2021,1.2882212251396172,1.3558612653265145,95.01
10,JPM,2022,0.8902066968989262,1.0169907859166372,87.53
11,JPM,2023,1.5021975709977153,1.314178659554741,114.31
12,PNC,2020,0.4928465305098943,,
13,PNC,2021,1.235212874775987,1.1183060349458427,110.45
14,PNC,2022,1.0261944496589719,1.0970394471193965,93.54
15,PNC,2023,1.1473060882756903,1.0094356402104674,113.66
16,SBNY,2020,0.8172055017703483,,
17,SBNY,2021,0.9505078702718383,0.9550491265519876,99.52
18,SBNY,2022,1.1482346897285356,1.1687027557534233,98.25
19,SIVB,2020,0.896994861144242,,
20,SIVB,2021,0.8239217277071575,1.267932533279322,64.98
21,SIVB,2022,0.9721399619170574,0.7602694254980852,127.87
